地域 コード,地域,時間軸(年次),世帯の年間収入階級,普通世帯数【世帯】
13000,東京都,2018年,総数,"6,825,100"
13000,東京都,2018年,100万円未満,"328,400"
13000,東京都,2018年,100～200万円未満,"668,000"
13000,東京都,2018年,200～300万円未満,"951,700"
13000,東京都,2018年,300～400万円未満,"901,300"
13000,東京都,2018年,400～500万円未満,"773,300"
13000,東京都,2018年,500～700万円未満,"940,400"
13000,東京都,2018年,700～1000万円未満,"798,300"
13000,東京都,2018年,1000～1500万円未満,"474,500"
13000,東京都,2018年,1500万円以上,"213,700"
13100,特別区部,2018年,総数,"4,914,400"
13100,特別区部,2018年,100万円未満,"227,000"
13100,特別区部,2018年,100～200万円未満,"468,200"
13100,特別区部,2018年,200～300万円未満,"672,600"
13100,特別区部,2018年,300～400万円未満,"642,500"
13100,特別区部,2018年,400～500万円未満,"562,400"
13100,特別区部,2018年,500～700万円未満,"664,000"
13100,特別区部,2018年,700～1000万円未満,"561,500"
13100,特別区部,2018年,1000～1500万円未満,"352,000"
13100,特別区部,2018年,1500万円以上,"174,100"
13101,千代田区,2018年,総数,"35,220"
13101,千代田区,2018年,100万円未満,"2,520"
13101,千代田区,2018年,100～200万円未満,"2,250"
13101,千代田区,2018年,200～300万円未満,"2,060"
13101,千代田区,2018年,300～400万円未満,"3,640"
13101,千代田区,2018年,400～500万円未満,"3,130"
13101,千代田区,2018年,500～700万円未満,"5,170"
13101,千代田区,2018年,700～1000万円未満,"4,610"
13101,千代田区,2018年,1000～1500万円未満,"4,250"
13101,千代田区,2018年,1500万円以上,"5,030"
13102,中央区,2018年,総数,"90,360"
13102,中央区,2018年,100万円未満,"2,610"
13102,中央区,2018年,100～200万円未満,"5,260"
13102,中央区,2018年,200～300万円未満,"8,820"
13102,中央区,2018年,300～400万円未満,"10,390"
13102,中央区,2018年,400～500万円未満,"9,890"
13102,中央区,2018年,500～700万円未満,"14,510"
13102,中央区,2018年,700～1000万円未満,"13,540"
13102,中央区,2018年,1000～1500万円未満,"12,480"
