地域コード,地域,年齢,総数／計(人),総数／男(人),総数／女(人),日本人／計(人),日本人／男(人),日本人／女(人),外国人／計(人),外国人／男(人),外国人／女(人)
13000,総数,総数,13911902,6830918,7080984,13264486,6507674,6756812,647416,323244,324172
13000,総数,0～4,466743,238893,227850,447987,229129,218858,18756,9764,8992
13000,総数,5～9,536709,274253,262456,517492,264360,253132,19217,9893,9324
13000,総数,10～14,537279,275600,261679,520502,266823,253679,16777,8777,8000
13000,総数,15～19,548794,280469,268325,521497,265726,255771,27297,14743,12554
13000,総数,20～24,793024,398817,394207,705958,351718,354240,87066,47099,39967
13000,総数,25～29,1007235,506544,500691,903059,451339,451720,104176,55205,48971
13000,総数,30～34,929343,470865,458478,841084,425212,415872,88259,45653,42606
13000,総数,35～39,947659,480925,466734,880336,446691,433645,67323,34234,33089
13000,総数,40～44,997498,507815,489683,941419,480595,460824,56079,27220,28859
13000,総数,45～49,1089225,552372,536853,1047585,532741,514844,41640,19631,22009
13000,総数,50～54,1154975,581512,573463,1118062,565363,552699,36913,16149,20764
13000,総数,55～59,986049,505462,480587,956698,493217,463481,29351,12245,17106
13000,総数,60～64,774113,393688,380425,752594,384791,367803,21519,8897,12622
13000,総数,65～69,642800,319031,323769,629043,313405,315638,13757,5626,8131
13000,総数,70～74,713865,340749,373116,705613,337115,368498,8252,3634,4618
13000,総数,75～79,661305,296063,365242,656213,293801,362412,5092,2262,2830
13000,総数,80～84,539583,218971,320612,536420,217701,318719,3163,1270,1893
13000,総数,85～89,355645,127226,228419,353878,126596,227282,1767,630,1137
13000,総数,90～94,173373,50487,122886,172635,50263,122372,738,224,514
13000,総数,95～99,49345,10241,39104,49118,10170,38948,227,71,156
13000,総数,100以上,7340,935,6405,7293,918,6375,47,17,30
13100,区部,総数,9643024,4728534,4914490,9100160,4456338,4643822,542864,272196,270668
13100,区部,0～4,327556,167561,159995,311888,159397,152491,15668,8164,7504
13100,区部,5～9,363445,185320,178125,347227,176976,170251,16218,8344,7874
13100,区部,10～14,354970,181806,173164,340652,174303,166349,14318,7503,6815
13100,区部,15～19,355303,181520,173783,331808,168774,163034,23495,12746,10749
13100,区部,20～24,555563,277791,277772,483400,238613,244787,72163,39178,32985
13100,区部,25～29,773595,387304,386291,685425,340978,344447,88170,46326,41844
13100,区部,30～34,704002,355393,348609,628468,316690,311778,75534,38703,36831
13100,区部,35～39,694647,351267,343380,637384,322200,315184,57263,29067,28196
13100,区部,40～44,715676,363321,352355,668227,339956,328271,47449,23365,24084
13100,区部,45～49,766347,387494,378853,731746,370825,360921,34601,16669,17932
13100,区部,50～54,795396,398383,397013,765158,384717,380441,30238,13666,16572
13100,区部,55～59,671688,343655,328033,648147,333580,314567,23541,10075,13466
13100,区部,60～64,520085,264472,255613,502645,257187,245458,17440,7285,10155
13100,区部,65～69,424266,211102,213164,413041,206511,206530,11225,4591,6634
13100,区部,70～74,461948,221671,240277,455244,218740,236504,6704,2931,3773
13100,区部,75～79,427729,191766,235963,423658,189955,233703,4071,1811,2260
13100,区部,80～84,346497,138794,207703,343953,137777,206176,2544,1017,1527
13100,区部,85～89,232131,80510,151621,230727,80007,150720,1404,503,901
13100,区部,90～94,114203,32119,82084,113609,31939,81670,594,180,414
13100,区部,95～99,33023,6634,26389,32838,6578,26260,185,56,129
13100,区部,100以上,4954,651,4303,4915,635,4280,39,16,23
13101,千代田区,総数,68755,34412,34343,64897,32345,32552,3858,2067,1791
13101,千代田区,0～4,2825,1432,1393,2762,1392,1370,63,40,23
13101,千代田区,5～9,3329,1685,1644,3198,1623,1575,131,62,69
13101,千代田区,10～14,3042,1549,1493,2928,1484,1444,114,65,49
13101,千代田区,15～19,2482,1219,1263,2341,1149,1192,141,70,71
13101,千代田区,20～24,3366,1693,1673,2919,1449,1470,447,244,203
13101,千代田区,25～29,5675,3118,2557,5081,2782,2299,594,336,258
13101,千代田区,30～34,5544,2957,2587,5050,2686,2364,494,271,223
13101,千代田区,35～39,5819,3022,2797,5404,2810,2594,415,212,203
