,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
,,野間口,さわ,大和,木宮,小池,うつみ,石丸,小野寺,しんどう,竹本,桜井,ドクター・中松,安野,清水,ＡＩメイヤー,桑原,ゴトウ,河合,福本,黒川,桑島,田母神,蓮舫,ないとう,内野,石丸,尾関,小松,かがた,福永,犬伏,武内,遠藤,上楽,二宮,中江,ふなはし,山田,加藤,草尾,津村,横山,前田,みなみ,ふくはら,木村,三輪,松尾,ホカリ,小林,加藤,ひまそら,向後,うしくぼ,古田,アキノリ将軍未満
,,翔,しげみ,行男,みつき,ゆりこ,さとる,伸二,こうき,伸夫,秀之,誠,,たかひろ,国明,,まりこ,テルキ,ゆうすけ,繁幸,あつひこ,康文,としお,,ひさお,愛里,幸人,あゆみ,けん,たくじ,かつや,宏明,隆,信一,むねゆき,大造,ともや,ゆめと,信一,英明,あつし,大作,緑,太一,俊輔,しるび,よしたか,陽一,芳治,ジン,弘,健一郎,あかね,真徳,のぶお,真,
,,無所属,無所属,無所属,未来党,無所属,市民がつくる政治の会,無所属,忠臣蔵義士新党,お金をみんなへ　シン独立党,無所属,日本第一党,無所属,無所属,清水国明と東京都の安全な未来をつくる会,ＡＩ党,無所属,ラブ＆ピース党,ジョーカー議員と投票率を上げる会,無所属,つばさの党,核融合党,無所属,無所属,無所属,カワイイ私の政見放送を見てね,石丸幸人党,ポーカー党,ゴルフ党,覇王党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,無所属,無所属,無所属,無所属,無所属,無所属,（略称）土頭を働かし最高裁裁判官５人を弾劾する党,ネオ幕府アキノリ党
都計,,1240.000,1232.000,9685.000,4874.000,2918015.000,121715.000,1658363.406,759.000,669.000,812.000,83600.995,23825.000,154638.000,38054.000,2761.000,1747.000,5419.000,2035.000,3245.000,1833.000,361.000,267699.000,1283262.000,2339.000,2152.000,96222.534,417.000,894.000,578.000,1281.000,371.000,446.000,882.328,211.000,833.000,612.000,329.000,691.669,588.051,481.000,302.000,2174.000,521.000,297.000,466.000,676.000,306.000,351.000,560.000,7408.000,572.942,110196.000,1951.000,1153.000,343.004,792.000
区部計,,884.000,875.000,6623.000,3279.000,1962077.000,83851.000,1175010.141,580.000,444.000,553.000,61637.995,16849.000,123898.000,25693.000,1849.000,1165.000,3799.000,1483.000,2217.000,1223.000,220.000,193546.000,854266.000,1531.000,1489.000,62672.836,286.000,629.000,386.000,846.000,215.000,282.000,595.376,140.000,597.000,485.000,228.000,444.622,409.522,331.000,223.000,1503.000,344.000,190.000,289.000,472.000,196.000,221.000,301.000,5010.000,353.475,79679.000,1406.000,810.000,229.004,557.000
　　千代田区,確,4.000,11.000,40.000,20.000,13490.000,594.000,8818.274,2.000,2.000,3.000,439.000,148.000,1623.000,173.000,17.000,5.000,23.000,17.000,9.000,13.000,,1701.000,5300.000,5.000,10.000,793.725,1.000,1.000,2.000,6.000,1.000,3.000,5.000,,2.000,3.000,2.000,1.000,1.000,6.000,3.000,6.000,,1.000,2.000,1.000,2.000,3.000,1.000,13.000,,781.000,9.000,7.000,,4.000
　　中央区,確,22.000,16.000,105.000,78.000,36927.000,1624.000,24890.421,23.000,4.000,8.000,959.000,387.000,4067.000,413.000,41.000,11.000,59.000,39.000,27.000,16.000,2.000,4189.000,12910.000,19.000,24.000,2042.578,2.000,15.000,6.000,22.000,3.000,5.000,11.000,,5.000,4.000,1.000,6.000,2.000,8.000,6.000,29.000,1.000,5.000,4.000,6.000,,4.000,4.000,39.000,3.000,1376.000,28.000,10.000,2.000,15.000
　　港区,確,26.000,31.000,95.000,99.000,43787.000,2823.000,30863.349,23.000,6.000,6.000,1231.000,411.000,4715.000,481.000,42.000,15.000,59.000,34.000,27.000,32.000,9.000,5721.000,18725.000,25.000,20.000,3164.650,6.000,31.000,2.000,14.000,4.000,8.000,6.000,3.000,5.000,4.000,6.000,9.000,1.000,1.000,3.000,23.000,8.000,12.000,4.000,7.000,3.000,8.000,3.000,73.000,12.000,1495.000,26.000,11.000,3.000,7.000
　　新宿区,確,19.000,39.000,199.000,114.000,63036.000,2933.000,39072.169,15.000,25.000,15.000,2157.000,638.000,5242.000,775.000,58.000,55.000,132.000,63.000,71.000,42.000,7.000,7554.000,29762.000,42.000,44.000,1618.830,17.000,14.000,12.000,38.000,11.000,12.000,63.000,3.000,5.000,23.000,9.000,19.000,5.000,6.000,4.000,40.000,13.000,7.000,6.000,13.000,8.000,8.000,3.000,152.000,9.000,2945.000,47.000,35.000,7.000,28.000
　　文京区,確,17.000,32.000,204.000,75.000,49077.000,2041.000,28009.706,13.000,11.000,12.000,1300.000,482.000,5874.000,632.000,41.000,22.000,94.000,46.000,55.000,40.000,6.000,5075.000,23924.000,43.000,37.000,3793.293,6.000,17.000,5.000,24.000,7.000,5.000,11.000,2.000,12.000,8.000,9.000,8.000,55.000,10.000,3.000,30.000,,7.000,4.000,8.000,9.000,13.000,6.000,139.000,4.000,2112.000,42.000,8.000,3.000,13.000
